lat,lng,Structure_Number,system_use_code,city_id,geometry_x,geometry_y
36.95113608381496,-76.2666153716632,G03323,,6,-8489960.7877,4432297.974299997
36.95109410103713,-76.26668824299907,G03324,,6,-8489968.8997,4432292.126199998
36.95096081861178,-76.26388580563814,G03350,,6,-8489656.9338,4432273.5603
36.95099467209282,-76.26649259172682,G03325,,6,-8489947.1199,4432278.276000001
36.94665961350347,-76.26172626288162,G0398,,6,-8489416.5346,4431674.4309
36.94659001954241,-76.26167702442427,G0397,,6,-8489411.0534,4431664.737199999
36.94661346857264,-76.26053312231788,H03134,,6,-8489283.7148,4431668.003399998
36.94655233897035,-76.26062854496062,H03133,,6,-8489294.3372,4431659.488700002
36.946575334280205,-76.26014249440816,H03137,,6,-8489240.2303,4431662.691699997
36.94651312846894,-76.26006901491286,H03138,,6,-8489232.0506,4431654.027099997
36.94649951578083,-76.26059587592869,H03135,,6,-8489290.7005,4431652.130999997
36.94614405440009,-76.26447534839953,G0390,,6,-8489722.5614,4431602.619199999
36.946095977194524,-76.26512075559181,G0358,,6,-8489794.4078,4431595.922600001
36.94600998219963,-76.26510617593476,G0357,,6,-8489792.7848,4431583.944499999
36.95086945713942,-76.25667795466538,H031072,,6,-8488854.5595,4432260.833899997
36.95078315596858,-76.25676266579667,H031071,,6,-8488863.9895,4432248.812399998
36.950947298608256,-76.26658039845258,G03326,,6,-8489956.8945,4432271.677000001
36.95008070035664,-76.25565724033054,H031068,,6,-8488740.9341,4432150.962899998
36.95018978548068,-76.26518965278086,G03344,,6,-8489802.0774,4432166.158
36.94988372776713,-76.25512563890496,H031066,,6,-8488681.7565,4432123.5254999995
36.9498567261419,-76.25515040096577,H032000,,6,-8488684.513,4432119.764300004
36.94983855323578,-76.25506193757153,H031065,,6,-8488674.6653,4432117.232900001
36.949803049507075,-76.25521703080702,H031067,,6,-8488691.9302,4432112.2874
36.95005427311921,-76.26824152893998,G03513,,6,-8490141.8107,4432147.2817
36.9500179719066,-76.26831567229029,G03512,,6,-8490150.0643,4432142.225100003
36.950132942438145,-76.26831426373192,G03514,,6,-8490149.9075,4432158.240000002
36.94986578028784,-76.2564885844136,H031077,,6,-8488833.4789,4432121.0254999995
36.94978503596198,-76.25657655373443,H031078,,6,-8488843.2716,4432109.7782000005
36.94973568390929,-76.2562938943387,H031076,,6,-8488811.8061,4432102.903700002
36.95011853424924,-76.26512536933912,G03197,,6,-8489794.9214,4432156.233000003
36.949622968424826,-76.25643415728716,H031079,,6,-8488827.4201,4432087.203000002
36.94952561804151,-76.25651577102735,H031080,,6,-8488836.5053,4432073.6426
36.949575215752766,-76.25991270356185,H03162,,6,-8489214.6501,4432080.551299997
36.94958713938609,-76.26790997603999,G03517,,6,-8490104.9024,4432082.212200001
36.94942462776358,-76.26776236397419,G03518,,6,-8490088.4703,4432059.575199999
36.94929079250203,-76.26764614982417,G03516,,6,-8490075.5334,4432040.932700001
36.949225631856294,-76.2677611548418,G03515,,6,-8490088.3357,4432031.856200002
36.94776605324367,-76.2591899226775,H03153,,6,-8489134.1905,4431828.547399998
